,phrase,label,sentiment,subjectivity,language,count
Möhnesee,Möhnesee,LOC,-0.1846153846153846,0.0,de,13
Iserlohn,Iserlohn,LOC,-0.11666666666666665,0.0,de,12
Waldbrands,Waldbrands,LOC,0.06666666666666665,0.0,de,12
Schwarzau,Schwarzau,LOC,-0.05625,0.020833333333333332,de,12
Wernigerode,Wernigerode,LOC,-0.11818181818181817,0.24545454545454548,de,11
Département,Département,LOC,-0.24090909090909093,0.045454545454545456,de,11
Insel Chios,Insel Chios,LOC,0.09999999999999999,0.0,de,11
Bezirk Neunkirchen,Bezirk Neunkirchen,LOC,0.09090909090909091,0.09090909090909091,de,11
Kroatien,Kroatien,LOC,0.22727272727272727,0.0,de,11
Australiens,Australiens,LOC,0.5181818181818182,0.0,de,11
Sardinien,Sardinien,LOC,-0.11818181818181818,0.0,de,11
Taunus,Taunus,LOC,0.26666666666666666,0.0,de,11
Manitoba,Manitoba,LOC,-0.1424242424242424,0.0303030303030303,de,11
Montenegro,Montenegro,LOC,-0.06363636363636363,0.1212121212121212,de,11
Atlantik,Atlantik,LOC,-0.09090909090909091,0.0,de,11
Südtiroler,Südtiroler,LOC,0.29090909090909084,0.09090909090909091,de,11
New York,New York,LOC,0.0,0.2727272727272727,de,11
Nationalpark Eifel,Nationalpark Eifel,LOC,-0.049999999999999996,0.0,de,11
Provinz Ávila,Provinz Ávila,LOC,0.26363636363636367,0.13636363636363635,de,11
Jüterbog,Jüterbog,LOC,-0.06363636363636363,0.0,de,11
Riesa,Riesa,LOC,0.0,0.0,de,11
Großbrand,Großbrand,LOC,-0.06999999999999999,0.0,de,10
Tschechien,Tschechien,LOC,0.16999999999999998,0.0,de,10
Flughafen,Flughafen,LOC,0.20999999999999996,0.0,de,10
Australien,Australien,LOC,0.135,0.25,de,10
Zerbst,Zerbst,LOC,0.06999999999999999,0.0,de,10
München,München,LOC,0.2333333333333333,0.0,de,10
Cottbus,Cottbus,LOC,-0.47000000000000003,0.0,de,10
León,León,LOC,-0.019999999999999983,0.05,de,10
Neudorf,Neudorf,LOC,-0.13999999999999999,0.0,de,10
Stuttgart,Stuttgart,LOC,0.034999999999999996,0.05,de,10
Brandgeruch,Brandgeruch,LOC,0.06999999999999998,0.0,de,10
Patras,Patras,LOC,0.06999999999999999,0.0,de,10
Bewohner,Bewohner,LOC,-0.18,0.0,de,10
Westtürkei,Westtürkei,LOC,0.030000000000000006,0.0,de,10
Ibiza,Ibiza,LOC,0.1111111111111111,0.0,de,9
Kastilien,Kastilien,LOC,-0.022222222222222206,0.05555555555555555,de,9
Sauerland,Sauerland,LOC,-0.3111111111111111,0.0,de,9
Waldbrandgefahr,Waldbrandgefahr,LOC,0.0,0.1111111111111111,de,9
Berlins,Berlins,LOC,0.0,0.0,de,9
Steiermark,Steiermark,LOC,0.15555555555555556,0.2222222222222222,de,9
Landkreis Harz,Landkreis Harz,LOC,-0.07777777777777778,0.0,de,9
Landkreis Meißen,Landkreis Meißen,LOC,-0.1722222222222222,0.0,de,9
Tennenloher Forst,Tennenloher Forst,LOC,-0.07777777777777778,0.0,de,9
Chios,Chios,LOC,0.18888888888888888,0.0,de,9
th,th,LOC,-0.18888888888888888,0.1111111111111111,de,9
nan,nan,LOC,0.19444444444444442,0.3888888888888889,de,9
Hollywood,Hollywood,LOC,-0.16111111111111115,0.0,de,9
Katastrophenfall,Katastrophenfall,LOC,-0.1111111111111111,0.0,de,9
Mittelmeer,Mittelmeer,LOC,0.05555555555555555,0.1111111111111111,de,9
Italiens,Italiens,LOC,0.06666666666666668,0.2222222222222222,de,9
Meißen,Meißen,LOC,0.16562499999999997,0.0,de,8
Behördenangaben,Behördenangaben,LOC,-0.10624999999999998,0.0,de,8
Erde,Erde,LOC,-0.0875,0.25,de,8
Bonn,Bonn,LOC,0.0875,0.125,de,8
Baden-Württemberg,Baden-Württemberg,LOC,-0.0875,0.0,de,8
Galicien,Galicien,LOC,0.125,0.0,de,8
US-Bundesstaat,US-Bundesstaat,LOC,-0.175,0.0,de,8
Brocken,Brocken,LOC,0.36874999999999997,0.05625,de,8
Zentrum Kanadas,Zentrum Kanadas,LOC,-0.175,0.25,de,8
Long Island,Long Island,LOC,0.125,0.625,de,8
Iberischen Halbinsel,Iberischen Halbinsel,LOC,-0.018750000000000003,0.125,de,8
Niemegk,Niemegk,LOC,0.0,0.0,de,8
Feuer,Feuer,LOC,0.4375,0.125,de,8
den USA,den USA,LOC,-0.07083333333333333,0.041666666666666664,de,8
Waldbrandfläche,Waldbrandfläche,LOC,0.0,0.0,de,8
Saskatchewan,Saskatchewan,LOC,-0.13124999999999998,0.0625,de,8
Raguhn-Jeßnitz,Raguhn-Jeßnitz,LOC,-0.0875,0.0,de,8
Santa Barbara,Santa Barbara,LOC,-0.0875,0.0,de,8
Waldbrandgebiet,Waldbrandgebiet,LOC,-0.036458333333333336,0.0,de,8
Potsdam,Potsdam,LOC,-0.0875,0.0,de,8
Latsch,Latsch,LOC,0.175,0.125,de,8
Vesuv,Vesuv,LOC,0.0,0.0,de,7
Südspanien,Südspanien,LOC,0.38571428571428573,0.14285714285714285,de,7
Dresden,Dresden,LOC,0.0,0.0,de,7
Aachen,Aachen,LOC,-0.19999999999999998,0.0,de,7
Elbe-Elster-Kreis,Elbe-Elster-Kreis,LOC,-0.7000000000000001,0.0,de,7
Griechenlands,Griechenlands,LOC,0.01666666666666667,0.0,de,7
Bulgarien,Bulgarien,LOC,0.014285714285714235,0.0,de,7
US-Metropole,US-Metropole,LOC,-0.09999999999999999,0.0,de,7
Extremadura,Extremadura,LOC,0.42857142857142855,0.0,de,7
Zentrum des Landes,Zentrum des Landes,LOC,-0.03571428571428571,0.0,de,7
Freistaat,Freistaat,LOC,-0.09999999999999999,0.14285714285714285,de,7
Tirol,Tirol,LOC,0.0,0.42857142857142855,de,7
Oberharz,Oberharz,LOC,-0.19999999999999998,0.0,de,7
Ribaute,Ribaute,LOC,0.09999999999999999,0.14285714285714285,de,7
Bundesforste,Bundesforste,LOC,-0.09999999999999999,0.0,de,7
Regen,Regen,LOC,0.5,0.2857142857142857,de,7
LA,LA,LOC,0.09999999999999999,0.0,de,7
Landkreis Spree-Neiße,Landkreis Spree-Neiße,LOC,0.19999999999999998,0.0,de,7
Brandes,Brandes,LOC,-0.042857142857142864,0.047619047619047616,de,7
Arnsberg,Arnsberg,LOC,-0.19999999999999998,0.0,de,7
Bad Bergzabern,Bad Bergzabern,LOC,0.09999999999999999,0.0,de,7
Pasadena,Pasadena,LOC,0.19999999999999998,0.0,de,7
Rhein-Main,Rhein-Main,LOC,0.0,0.0,de,7
Landkreis Anhalt-Bitterfeld,Landkreis Anhalt-Bitterfeld,LOC,-0.19999999999999998,0.0,de,7
Barnim,Barnim,LOC,0.0,0.0,de,7
Rheinmetall-Tochter,Rheinmetall-Tochter,LOC,-0.24285714285714285,0.0,de,7
Quittelsdorf,Quittelsdorf,LOC,-0.2833333333333333,0.0,de,6
Washington,Washington,LOC,0.11666666666666665,0.0,de,6
New South Wales,New South Wales,LOC,-0.025000000000000005,0.0,de,6
Lausitz,Lausitz,LOC,0.0,0.0,de,6
Kreis Oberhavel,Kreis Oberhavel,LOC,-0.08055555555555556,0.0,de,6
Windschäden,Windschäden,LOC,0.0,0.0,de,6
Silopi,Silopi,LOC,0.0,0.0,de,6
Land,Land,LOC,-0.11666666666666665,0.3333333333333333,de,6
Forstministerium,Forstministerium,LOC,-0.6416666666666667,0.08333333333333333,de,6
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.0,0.0,de,6
Köln,Köln,LOC,0.11666666666666665,0.0,de,6
Landratsamt Meißen,Landratsamt Meißen,LOC,-0.11666666666666665,0.0,de,6
Rax-Schneeberg-Gebiet,Rax-Schneeberg-Gebiet,LOC,0.0,0.16666666666666666,de,6
Burgenland,Burgenland,LOC,-0.19999999999999998,0.08333333333333333,de,6
Nieska,Nieska,LOC,-1.0,0.0,de,6
Mallorca,Mallorca,LOC,0.5166666666666666,0.0,de,6
Kreis Saalfeld-Rudolstadt,Kreis Saalfeld-Rudolstadt,LOC,-0.21666666666666667,0.0,de,6
Japans,Japans,LOC,0.15555555555555553,0.0,de,6
Portugals,Portugals,LOC,0.038888888888888896,0.0,de,6
Thüringens,Thüringens,LOC,0.11666666666666665,0.0,de,6
Präfektur Iwate,Präfektur Iwate,LOC,0.11666666666666665,0.5,de,6
Waldbrand im Harz,Waldbrand im Harz,LOC,-0.3499999999999999,0.0,de,6
Sabugal,Sabugal,LOC,-0.11666666666666665,0.0,de,6
Waldbrand-Gebiet,Waldbrand-Gebiet,LOC,-0.08749999999999998,0.0,de,6
Granetalsperre,Granetalsperre,LOC,0.0,0.0,de,6
Seoul,Seoul,LOC,-0.30833333333333335,0.16666666666666666,de,6
Limassol,Limassol,LOC,0.11666666666666665,0.0,de,6
Nideggen,Nideggen,LOC,0.0,0.0,de,6
Ofunato,Ofunato,LOC,0.03888888888888888,0.5,de,6
Sundern,Sundern,LOC,-0.2333333333333333,0.0,de,6
sn,sn,LOC,-0.06666666666666665,0.0,de,6
Brasilien,Brasilien,LOC,0.0,0.0,de,6
Kühleres Wetter,Kühleres Wetter,LOC,0.07999999999999999,0.2,de,5
Sachsenforst,Sachsenforst,LOC,-0.5700000000000001,0.0,de,5
Alfeld,Alfeld,LOC,0.27999999999999997,0.0,de,5
Schönberg,Schönberg,LOC,0.41999999999999993,0.0,de,5
Altadena,Altadena,LOC,-0.13999999999999999,0.2,de,5
US-Bundesstaat Kalifornien,US-Bundesstaat Kalifornien,LOC,0.0,0.4,de,5
North Rim,North Rim,LOC,-0.33999999999999997,0.0,de,5
Colorado,Colorado,LOC,-0.4,0.0,de,5
