day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2024-12-11,0.36841732219404266,1.0,-0.5903907437741761,1.0,1.0
2024-12-13,-0.13751211239490363,0.5809173690398104,1.0640472719767613,0.7830983672804536,7.0
2024-12-14,-0.9824151158170411,1.0,-0.4437777358600637,1.0,1.0
2024-12-18,-0.04960677265536172,1.0,-0.4207034741589837,1.0,1.0
2024-12-22,1.4428053962460554,0.44490278683483653,3.4101985990636123,1.4523288277298991,3.0
2024-12-27,0.985167980971989,0.7752193786597089,-0.4260130131619634,0.025123111771450622,2.0
2025-01-05,-0.5970799760501221,0.7742440292767141,-0.4364499490706838,0.022268878379693987,2.0
2025-01-06,-1.2313829122197564,1.0,-0.408248290463863,1.0,1.0
2025-01-07,-0.5441256889549173,0.7571311516596373,-0.48151067770635325,0.06423976345523129,9.0
2025-01-08,-0.6420751026180371,1.0846518794162143,0.10400231682423461,0.959759814604337,41.0
2025-01-09,-0.03189626523596412,1.1486067007388434,-0.18231322627319752,0.8524600858966188,23.0
2025-01-10,-0.203618920512479,0.63290573395753,-0.3275112187428576,0.42774247016462613,13.0
2025-01-11,-0.22933670756528632,0.659301029966812,0.38522498123597576,0.8559661528848689,8.0
2025-01-12,-0.6521828213184124,0.8521712203804764,-0.4450171110608564,0.03438467505724334,2.0
2025-01-13,-0.18858818499578256,1.5252142996475868,-0.32483017370707784,0.2728070354720349,8.0
2025-01-14,0.529914086741906,0.7254222447225881,-0.03884492876811525,0.8538411773695131,8.0
2025-01-15,-0.2412147763692866,0.2968659710313648,-0.2673257375655044,0.6409177963168622,4.0
2025-01-16,0.9798667362876778,0.957262020455132,-0.43914736983034147,0.09441303702333388,4.0
2025-01-17,-0.1546253648627342,1.1239605280611893,0.2302677499225133,0.7635559982333334,4.0
2025-01-18,0.175,1.0,0.0,1.0,1.0
2025-01-19,-0.9290462154232146,1.0,-0.4521964239823839,1.0,1.0
2025-01-20,0.35388400412092824,1.3337707929120652,-0.061643344130290406,0.38422766749194304,2.0
2025-01-21,-0.4812588505030088,1.0,-0.46933074796272906,1.0,1.0
2025-01-22,0.11358477953197815,1.116066512478807,-0.09067153613688089,0.4667356427671345,2.0
2025-01-23,-0.7423443534173395,1.0,2.3845206648758963,1.0,1.0
2025-01-24,-0.38750926940326463,0.9487657392193896,-0.07573443275409458,0.5936058611056368,3.0
2025-01-25,0.14848860468512529,1.0,-0.4521964239823839,1.0,1.0
2025-01-26,0.35710464412264675,1.0,-0.5492534657563822,1.0,1.0
2025-01-27,-0.8120339828530699,0.547640927113937,-0.6898923225713546,0.1807670521303671,2.0
2025-01-28,-0.05118964242107911,1.8791561431454658,-0.49908161306673565,0.07832694989782761,5.0
2025-01-29,0.4887895680178646,0.7555006491051186,-0.6972092245635939,0.18716784385255283,2.0
2025-01-30,-0.17386080969771953,0.8939608648139087,0.6112763595757447,1.8656613686306003,3.0
2025-01-31,0.056551136870884706,0.36854589617377176,-0.497682068030874,0.07442415829959782,4.0
2025-02-01,-0.39916242257695295,1.4166225477807597,-0.4853377746243796,0.0763199042118992,6.0
