index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.faz.net/aktuell/gesellschaft/australien-waldbraende-wueten-in-new-south-wales-accg-200331709.html,https://www.faz.net/aktuell/gesellschaft/australien-waldbraende-wueten-in-new-south-wales-accg-200331709.html,0,www.faz.net,Extreme Hitzewelle: Hunderttausende Australier von Waldbränden betroffen,Australien spürt die Erderwärmung besonders stark. Zurzeit wüten Dutzende Waldbrände in der Nähe von Sydney. Mehr als 1500 Feuerwehrleute sind im Einsatz.,https://media0.faz.net/image/w1200h627/7864f8b4f2b0/w7924h4140x0y344o/202512/43601.0.1555692345/abgebrannte-wohnhaeuser-am-6.webp,2025-12-06T12:50:53Z,,In Australiens bevölkerungsreichstem Bundesstaat New South Wales (NSW) haben am Samstag verheerende Waldbrände an 75 Brandherden gewütet. Die Behörden riefen für Hunderttausende Einwohner in den betr… [+1289 chars],,de,'Waldbrände'
https://www.zeit.de/gesellschaft/zeitgeschehen/2025-12/australien-waldbraende-katastrophenhilfe,https://www.zeit.de/gesellschaft/zeitgeschehen/2025-12/australien-waldbraende-katastrophenhilfe,0,www.zeit.de,New South Wales: Australien aktiviert Katastrophenhilfe wegen schwerer Waldbrände,"Zahlreiche Waldbrände wüten im australischen Bundesstaat New South Wales. Der Premierminister warnt vor einem ""schwierigen Sommer"".",https://img.zeit.de/gesellschaft/zeitgeschehen/2025-12/australien-aktiviert-wegen-waldbraenden-katastrophenhilfe-bild/wide__1300x731,2025-12-07T07:31:49Z,,"Wegen schwerer Waldbrände hat Australien die Katastrophenhilfe
im Bundesstaat New South Wales aktiviert. Derzeit wüten dort mehr als 60 Brände.
Schon am Samstag wurden mindestens zwölf Häuser in ei… [+1054 chars]",,de,'Waldbrände'
https://www.dw.com/de/australien-feuer-waldbr%C3%A4nde-new-south-wales-sydney-alarmstufe/a-75050658,https://www.dw.com/de/australien-feuer-waldbr%C3%A4nde-new-south-wales-sydney-alarmstufe/a-75050658,0,www.dw.com,Schwere Waldbrände wüten in Australien,Die Flammen zerstörten Häuser nur 45 Kilometer nördlich der australischen Fünf-Millionen-Stadt Sydney. Im bevölkerungsreichsten Bundesstaat New South Wales wurde die Katastrophenhilfe aktiviert. Australiens Behörden haben für Hunderttausende Einwohner in New …,https://static.dw.com/image/75050319_6.jpg,2025-12-07T11:00:00Z,,Australiens Behörden haben für Hunderttausende Einwohner in New South Wales die höchste Evakuierungsstufe ausgerufen. Mehr als 60 verheerende Waldbrände wüten in der Region. Der Premierminister des B… [+1913 chars],,de,'Waldbrände'
